release,class_name,size,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,buggy
1,zookeeper/java/src/com/yahoo/zookeeper/server/SessionTrackerImpl.java,153,45,6,3,7,4,1,6,4,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/SyncRequestProcessor.java,180,49,2,2,18,14,9,18,14,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/TraceFormatter.java,90,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/WatchManager.java,60,9,2,2,9,5,4,9,5,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/ZooKeeperServer.java,574,2105,8,3,142,116,17,135,116,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/ZooLog.java,283,255,5,3,110,102,22,91,84,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/auth/AuthenticationProvider.java,9,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/auth/DigestAuthenticationProvider.java,94,7,1,1,4,4,4,3,3,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/auth/HostAuthenticationProvider.java,40,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/auth/IPAuthenticationProvider.java,84,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/AckRequestProcessor.java,14,0,0,0,0,0,0,0,0,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/CommitProcessor.java,100,25,3,2,13,9,4,13,9,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Follower.java,245,1520,6,4,22,14,3,19,14,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerHandler.java,245,105,4,3,41,26,10,41,26,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerRequestProcessor.java,57,9,3,2,5,4,1,5,4,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerSessionTracker.java,41,13,1,1,2,2,2,1,1,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerZooKeeperServer.java,98,104,6,3,18,8,3,14,7,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Leader.java,301,238,5,3,43,16,8,34,16,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/LeaderElection.java,158,794,4,3,4,4,1,4,4,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/LeaderZooKeeperServer.java,38,37,3,2,11,7,3,11,7,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/ProposalRequestProcessor.java,27,74,4,2,1,1,0,1,1,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumPeer.java,374,2221,6,4,46,33,7,38,30,no
1,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/SendAckRequestProcessor.java,22,37,3,2,5,4,1,5,4,no
3,zookeeper/java/src/com/yahoo/jute/BinaryInputArchive.java,87,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/BinaryOutputArchive.java,97,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/CsvInputArchive.java,161,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/CsvOutputArchive.java,104,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/Index.java,5,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/InputArchive.java,20,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/OutputArchive.java,23,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/Record.java,8,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/RecordReader.java,57,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/RecordWriter.java,75,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/Utils.java,188,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/XmlInputArchive.java,194,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/XmlOutputArchive.java,196,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/CGenerator.java,40,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/CppGenerator.java,37,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JBoolean.java,15,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JBuffer.java,72,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JByte.java,9,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JCompType.java,24,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JDouble.java,13,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JField.java,57,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JFile.java,32,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JFloat.java,12,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JInt.java,9,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JLong.java,12,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JMap.java,64,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JRecord.java,439,0,0,2,0,0,0,0,0,no
