"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"bookkeeper","3","0.07423813","0.3341289","0.15064102","IBk","no","yes","no","38.0","29.0","236.0","9.0","0.5671641791044776","0.8085106382978723","0.8968687274187074","0.5949436282883498"
"bookkeeper","3","0.07423813","0.3341289","0.15064102","Random Forest","no","no","yes","11.0","7.0","258.0","36.0","0.6111111111111112","0.23404255319148937","0.90686471296668","0.27824402840542295"
"bookkeeper","3","0.07423813","0.3341289","0.15064102","Naive Bayes","no","no","yes","10.0","1.0","264.0","37.0","0.9090909090909091","0.2127659574468085","0.9075070252910478","0.30512249443207123"
"bookkeeper","3","0.07423813","0.3341289","0.15064102","IBk","no","no","yes","34.0","26.0","239.0","13.0","0.5666666666666667","0.723404255319149","0.8723002810116419","0.5614186851211073"
"bookkeeper","3","0.07423813","0.3341289","0.15064102","Random Forest","no","yes","yes","18.0","8.0","257.0","29.0","0.6923076923076923","0.3829787234042553","0.911601766358892","0.4322250639386189"
"bookkeeper","3","0.07423813","0.3341289","0.15064102","Naive Bayes","no","yes","yes","8.0","1.0","264.0","39.0","0.8888888888888888","0.1702127659574468","0.8687675632276194","0.24936845904005778"
"bookkeeper","3","0.07423813","0.3341289","0.15064102","IBk","no","yes","yes","35.0","22.0","243.0","12.0","0.6140350877192983","0.7446808510638298","0.8942994781212364","0.6084163898117388"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Random Forest","no","no","no","28.0","175.0","101.0","6.0","0.13793103448275862","0.8235294117647058","0.741421568627451","0.05959843126738848"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Naive Bayes","no","no","no","34.0","256.0","20.0","0.0","0.11724137931034483","1.0","0.6086956521739131","0.016848364717542107"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","IBk","no","no","no","27.0","191.0","85.0","7.0","0.12385321100917432","0.7941176470588235","0.5510443307757886","0.03027047522750247"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Random Forest","no","yes","no","31.0","194.0","82.0","3.0","0.13777777777777778","0.9117647058823529","0.7846867007672634","0.060316971841821776"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Naive Bayes","no","yes","no","34.0","197.0","79.0","0.0","0.1471861471861472","1.0","0.7769075021312873","0.0808524728334487"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","IBk","no","yes","no","32.0","212.0","64.0","2.0","0.13114754098360656","0.9411764705882353","0.5978260869565217","0.04667471403115483"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Random Forest","no","no","yes","20.0","51.0","225.0","14.0","0.28169014084507044","0.5882352941176471","0.7587915601023018","0.2731404660558401"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Naive Bayes","no","no","yes","34.0","229.0","47.0","0.0","0.12927756653992395","1.0","0.6123188405797102","0.04308090475291835"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","IBk","no","no","yes","27.0","191.0","85.0","7.0","0.12385321100917432","0.7941176470588235","0.5510443307757886","0.03027047522750247"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Random Forest","no","yes","yes","25.0","73.0","203.0","9.0","0.25510204081632654","0.7352941176470589","0.7713128729752771","0.25794021485287255"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","Naive Bayes","no","yes","yes","34.0","190.0","86.0","0.0","0.15178571428571427","1.0","0.7769075021312873","0.09031939210477542"
"bookkeeper","4","0.1018781","0.28434783","0.10967742","IBk","no","yes","yes","32.0","212.0","64.0","2.0","0.13114754098360656","0.9411764705882353","0.5978260869565217","0.04667471403115483"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Random Forest","no","no","no","38.0","49.0","211.0","12.0","0.4367816091954023","0.76","0.8543846153846154","0.4400355344980752"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Naive Bayes","no","no","no","36.0","55.0","205.0","14.0","0.3956043956043956","0.72","0.8506153846153847","0.3819705287489165"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","IBk","no","no","no","18.0","43.0","217.0","32.0","0.29508196721311475","0.36","0.6895384615384615","0.17873542917696914"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Random Forest","no","yes","no","34.0","48.0","212.0","16.0","0.4146341463414634","0.68","0.8261153846153846","0.39364303178484117"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Naive Bayes","no","yes","no","36.0","56.0","204.0","14.0","0.391304347826087","0.72","0.8158076923076923","0.3767949454336587"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","IBk","no","yes","no","26.0","59.0","201.0","24.0","0.3058823529411765","0.52","0.7207307692307693","0.2284857571214393"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Random Forest","no","no","yes","15.0","7.0","253.0","35.0","0.6818181818181818","0.3","0.884423076923077","0.35288270377733605"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Naive Bayes","no","no","yes","14.0","5.0","255.0","36.0","0.7368421052631579","0.28","0.8506153846153847","0.3478707029245769"
