"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"zookeeper","3","0.03113009","0.077534795","0.029761905","Random Forest","No","yes","yes","0.0","0.0","163.0","5.0","NaN","0.0","1.0","0.0"
"zookeeper","3","0.03113009","0.077534795","0.029761905","Naive Bayes","No","yes","yes","0.0","1.0","162.0","5.0","0.0","0.0","0.7950920245398773","-0.010020040080161195"
"zookeeper","3","0.03113009","0.077534795","0.029761905","IBk","No","yes","yes","5.0","0.0","163.0","0.0","1.0","1.0","1.0","1.0"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Random Forest","No","no","no","5.0","0.0","144.0","19.0","1.0","0.20833333333333334","0.7702546296296297","0.31088082901554376"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Naive Bayes","No","no","no","0.0","1.0","143.0","24.0","0.0","0.0","0.7734375","-0.01156069364161889"
"zookeeper","4","0.041527417","0.06557377","0.14285715","IBk","No","no","no","5.0","0.0","144.0","19.0","1.0","0.20833333333333334","0.7421875","0.31088082901554376"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Random Forest","No","yes","no","5.0","0.0","144.0","19.0","1.0","0.20833333333333334","0.7705439814814815","0.31088082901554376"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Naive Bayes","No","yes","no","5.0","3.0","141.0","19.0","0.625","0.20833333333333334","0.7734375","0.25961538461538464"
"zookeeper","4","0.041527417","0.06557377","0.14285715","IBk","No","yes","no","5.0","0.0","144.0","19.0","1.0","0.20833333333333334","0.7303240740740741","0.31088082901554376"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Random Forest","No","no","yes","0.0","0.0","144.0","24.0","NaN","0.0","0.7465277777777778","0.0"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Naive Bayes","No","no","yes","0.0","0.0","144.0","24.0","NaN","0.0","0.7734375","0.0"
"zookeeper","4","0.041527417","0.06557377","0.14285715","IBk","No","no","yes","5.0","0.0","144.0","19.0","1.0","0.20833333333333334","0.7421875","0.31088082901554376"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Random Forest","No","yes","yes","0.0","0.0","144.0","24.0","NaN","0.0","0.7235243055555556","0.0"
"zookeeper","4","0.041527417","0.06557377","0.14285715","Naive Bayes","No","yes","yes","0.0","1.0","143.0","24.0","0.0","0.0","0.7734375","-0.01156069364161889"
"zookeeper","4","0.041527417","0.06557377","0.14285715","IBk","No","yes","yes","5.0","0.0","144.0","19.0","1.0","0.20833333333333334","0.7303240740740741","0.31088082901554376"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Random Forest","No","no","no","4.0","4.0","159.0","1.0","0.5","0.8","0.9914110429447853","0.6007604562737644"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Naive Bayes","No","no","no","1.0","7.0","156.0","4.0","0.125","0.2","0.8196319018404908","0.12167300380228194"
"zookeeper","5","0.051924743","0.08104887","0.029761905","IBk","No","no","no","4.0","5.0","158.0","1.0","0.4444444444444444","0.8","0.9527607361963191","0.5543766578249338"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Random Forest","No","yes","no","5.0","2.0","161.0","0.0","0.7142857142857143","1.0","1.0","0.8273381294964034"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Naive Bayes","No","yes","no","1.0","9.0","154.0","4.0","0.1","0.2","0.8134969325153374","0.09752066115702587"
